Requirement ID,Requirement Text,Unit Test ID,Integration Test ID,EMVCo Test Case Ref,Evidence Artifact
KRN-RR-003,Kernel SHALL parse record templates into card data without unmasked sensitive logging.,UT-RR-003,IT-RR-003,EMV-L2-RR-003,record::tests::parses_record_template_into_card_data_store; record::tests::rejects_empty_or_malformed_record_templates; record::tests::rejects_unwrapped_or_extra_record_data; record::tests::rejects_duplicate_record_data_without_partial_store; record::tests::rejects_conflicting_record_data_rewrite_without_partial_store; record::tests::accepts_repeated_record_data_when_value_is_identical; record::tests::rejects_nested_record_data_without_partial_store; trace::tests::apdu_trace_debug_redacts_masked_payloads_for_crash_safety; traceability_foundation::krn_rr_001_002_003_reads_records_in_afl_order_and_stores_card_data; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
KRN-RR-004,Kernel SHALL reject inconsistent or malformed cardholder PAN data between tags 5A and 57 without partially updating the card data store.,UT-RR-004,IT-RR-004,EMV-L2-RR-004,record::tests::accepts_matching_pan_and_track2_without_unmasked_logging_dependency; record::tests::rejects_mismatched_pan_and_track2_without_partial_store; record::tests::rejects_conflicting_cardholder_data_rewrite_without_partial_store; record::tests::rejects_malformed_pan_or_track2_without_partial_store; traceability_foundation::rtm_promotes_gpo_and_read_record_evidence
KRN-TVR-001,Kernel SHALL use symbolic constants for TVR bits; raw hex SHALL NOT be used directly.,UT-TVR-001,IT-TVR-001,EMV-L2-TVR-001,state::tests::uses_symbolic_tvr_bits; traceability_foundation::bitmap_catalogue_defines_tvr_tsi_symbols_and_rfu_masks; traceability_foundation::implementation_uses_symbolic_bitmap_setters; traceability_foundation::rtm_promotes_tvr_and_cvm_table_evidence
KRN-TVR-002,Kernel SHALL clear TVR before each transaction.,UT-TVR-002,IT-TVR-002,EMV-L2-TVR-002,state::tests::tvr_starts_cleared_for_each_transaction; traceability_foundation::krn_tvr_001_002_tvr_is_symbolic_and_cleared; traceability_foundation::rtm_promotes_tvr_clearing_and_tsi_evidence
KRN-TVR-003,Kernel SHALL implement all RFU bits as reserved; SHALL NOT set them.,UT-TVR-003,IT-TVR-003,EMV-L2-TVR-003,state::tests::tvr_and_tsi_mutation_masks_rfu_bits; traceability_foundation::krn_tvr_003_tsi_001_state_bits_are_defined_and_rfu_safe; traceability_foundation::rtm_promotes_tvr_clearing_and_tsi_evidence
KRN-TSI-001,Kernel SHALL set TSI bits as defined.,UT-TSI-001,IT-TSI-001,EMV-L2-TSI-001,state::tests::tvr_and_tsi_mutation_masks_rfu_bits; traceability_foundation::krn_tvr_003_tsi_001_state_bits_are_defined_and_rfu_safe; traceability_foundation::tsi_bits_are_set_only_after_corresponding_processing; traceability_foundation::rtm_promotes_tvr_clearing_and_tsi_evidence
KRN-TERMCAP-001,Kernel SHALL accept Terminal Capabilities tag 9F33 through a stable ABI and use it in DOL data.,UT-TERMCAP-001,IT-TERMCAP-001,EMV-L2-TERM-001,traceability_foundation::krn_termcap_001_supplies_9f33_to_pdol_and_online_handoff; krn_emv_decode::tests::terminal_capabilities_output_names_standard_bits_and_flags_rfu; traceability_foundation::rtm_promotes_terminal_capability_and_ttq_evidence
KRN-TTQ-001,Kernel SHALL accept Terminal Transaction Qualifiers tag 9F66 through a stable ABI and use it in contactless DOL data.,UT-TTQ-001,IT-TTQ-001,EMV-C8-TTQ-001,traceability_foundation::krn_ttq_001_supplies_9f66_to_contactless_pdol_and_online_handoff; krn_emv_decode::tests::ttq_and_ctq_output_profile_defined_bitmaps; traceability_foundation::rtm_promotes_terminal_capability_and_ttq_evidence
KRN-CID-001,Kernel SHALL decode CID using mask 0xC0 and mapping.,UT-CID-001,IT-CID-001,EMV-L2-CID-001,cid::tests::decodes_cryptogram_type_with_0xc0_mask; krn_emv_decode::tests::cid_output_masks_type_bits_and_preserves_advice_fields; traceability_foundation::krn_cid_001_002_decodes_type_and_preserves_non_type_bits
KRN-CVM-001,"Kernel SHALL parse CVM List, evaluate condition codes, enforce amount limits.",UT-CVM-001,IT-CVM-001,EMV-L2-CVM-001,cvm::tests::parses_cvm_list_amounts_and_certified_method_codes; cvm::tests::rejects_cvm_lists_above_rule_limit; cvm::tests::amount_conditions_are_enforced; cvm::tests::terminal_support_condition_matches_candidate_cvm_capability; cvm::tests::transaction_type_conditions_select_only_matching_rules; ffi::tests::cvm_transaction_type_uses_terminal_and_transaction_tags; cvm::tests::continue_on_failure_skips_to_next_matching_cvm_rule; cvm::tests::offline_pin_and_signature_selects_composite_actions; krn_emv_decode::tests::cvm_list_output_names_rules_without_handles; traceability_foundation::krn_cvm_001_002_003_and_sec_004_use_cvm_table_without_clear_pin; traceability_foundation::rtm_promotes_cvm_outcome_evidence
KRN-CVM-002,Kernel SHALL set TVR byte 3 bits based on CVM outcome.,UT-CVM-002,IT-CVM-002,EMV-L2-CVM-002,cvm::tests::offline_pin_requires_ped_owned_opaque_handle; cvm::tests::offline_pin_verify_status_updates_cvm_results_and_tvr_bits; cvm::tests::unrecognized_cvm_sets_tvr_even_when_next_rule_succeeds; cvm::tests::pin_cvm_unavailable_sets_specific_tvr_bits; ffi::tests::cvm_processing_persists_unrecognized_tvr_on_later_success; ffi::tests::cvm_processing_persists_missing_pin_pad_tvr_on_later_success; ffi::tests::cvm_processing_persists_pin_not_entered_tvr_when_handle_missing; traceability_foundation::krn_cvm_001_002_003_and_sec_004_use_cvm_table_without_clear_pin; traceability_foundation::rtm_promotes_cvm_outcome_evidence
KRN-CVM-003,Kernel SHALL use the certified CVM code table.,UT-CVM-003,IT-CVM-003,EMV-L2-CVM-003,cvm::tests::maps_certified_cvm_method_code_table_and_masks_continue_bit; cvm::tests::parses_cvm_list_amounts_and_certified_method_codes; traceability_foundation::krn_cvm_001_002_003_and_sec_004_use_cvm_table_without_clear_pin; traceability_foundation::contactless_cdcvm_is_not_hardcoded_to_cvm_code_0x05; traceability_foundation::rtm_promotes_tvr_and_cvm_table_evidence
KRN-CVMCAP-001,Kernel SHALL accept terminal and PED CVM capabilities through a stable ABI.,UT-CVMCAP-001,IT-CVMCAP-001,EMV-L2-CVM-004,traceability_foundation::krn_cvmcap_001_uses_terminal_cvm_capabilities_from_abi; ffi::tests::offline_pin_capability_is_separate_from_ped_handle; cvm::tests::terminal_support_condition_matches_candidate_cvm_capability; cvm::tests::continue_on_failure_skips_to_next_matching_cvm_rule; traceability_foundation::rtm_promotes_cvm_pin_capability_evidence
KRN-CVMRES-001,Kernel SHALL store CVM Results as tag 9F34 with three EMV result bytes.,UT-CVMRES-001,IT-CVMRES-001,EMV-L2-CVM-003,traceability_foundation::krn_pin_001_002_003_pinapi_001_002_cvmres_001_use_ped_owned_handles; cvm::tests::offline_pin_verify_status_updates_cvm_results_and_tvr_bits; traceability_foundation::krn_pin_004_verify_63cx_updates_try_counter_tvr_and_cvm_results; traceability_foundation::rtm_promotes_cvm_pin_capability_evidence
KRN-PIN-001,Kernel SHALL distinguish offline plaintext offline enciphered and online PIN methods.,UT-PIN-001,IT-PIN-001,PCI-PTS-PIN-003,cvm::tests::maps_certified_cvm_method_code_table_and_masks_continue_bit; cvm::tests::offline_pin_requires_ped_owned_opaque_handle; cvm::tests::offline_pin_and_signature_selects_composite_actions; traceability_foundation::krn_pin_001_002_003_pinapi_001_002_cvmres_001_use_ped_owned_handles; traceability_foundation::rtm_promotes_cvm_pin_capability_evidence
KRN-PIN-002,Kernel SHALL NOT expose clear PIN values in kernel memory.,UT-PIN-002,IT-PIN-002,PCI-PTS-PIN-004,cvm::tests::offline_pin_requires_ped_owned_opaque_handle; cvm::tests::offline_pin_debug_redacts_ped_handle_values; trace::tests::replay_rejects_pin_verify_payload_custody; traceability_foundation::rtm_promotes_cvm_pin_capability_evidence
KRN-PIN-003,Kernel SHALL delegate PIN block construction to the PED or secure PIN module.,UT-PIN-003,IT-PIN-003,PCI-PTS-PIN-005,cvm::tests::offline_pin_requires_ped_owned_opaque_handle; traceability_foundation::krn_pin_001_002_003_pinapi_001_002_cvmres_001_use_ped_owned_handles; traceability_foundation::rtm_promotes_cvm_pin_capability_evidence
KRN-GAC-008,"Kernel SHALL encode P1 for GENERATE AC using constants 0x00, 0x40, 0x80.",UT-GAC-001,IT-GAC-001,EMV-L2-GAC-001,apdu::tests::encodes_generate_ac_type_bits_without_cda_collision; traceability_foundation::krn_gac_008_009_cda_control_never_changes_type_bits; traceability_foundation::rtm_promotes_legacy_gac_cda_control_evidence
KRN-GAC-009,"If CDA supported and enabled, kernel SHALL set CDA request bit per scheme profile.",UT-GAC-002,IT-GAC-002,EMV-L2-CDA-001,apdu::tests::encodes_generate_ac_type_bits_without_cda_collision; config::tests::cda_request_encoding_is_profile_defined_and_non_colliding; config::tests::rejects_inconsistent_cda_profile_controls; ffi::tests::first_gac_cda_request_control_is_profile_defined; traceability_foundation::krn_gac_008_009_cda_control_never_changes_type_bits; traceability_foundation::rtm_promotes_legacy_gac_cda_control_evidence
KRN-GAC-010,Kernel SHALL treat CDA request encoding as profile-defined and unsupported when absent.,UT-GAC-003,IT-GAC-003,EMV-L2-CDA-002,config::tests::cda_request_encoding_is_profile_defined_and_non_colliding; config::tests::rejects_inconsistent_cda_profile_controls; ffi::tests::first_gac_cda_request_control_is_profile_defined; traceability_foundation::krn_gac_010_cda_request_is_profile_defined_or_unsupported; traceability_foundation::rtm_promotes_legacy_gac_cda_control_evidence
KRN-TAA-004,Kernel SHALL fetch IACs from card; missing tags use signed profile fallback values.,UT-TAA-004,IT-TAA-004,EMV-L2-TAA-001,config::tests::loads_profile_issuer_action_code_fallbacks; taa::tests::iac_values_participate_in_denial_online_and_default_decisions; ffi::tests::taa_offline_final_state_finishes_from_s16; ffi::tests::taa_uses_profile_iac_fallbacks_when_card_omits_iacs; ffi::tests::card_iac_tags_override_profile_fallbacks; traceability_foundation::krn_taa_001_002_003_004_005_006_007_uses_iac_tac_order_and_profile_fallbacks
KRN-TAA-005,Kernel SHALL fetch TACs from signed configuration.,UT-TAA-005,IT-TAA-005,EMV-L2-TAA-002,traceability_foundation::profile_loader_requires_verified_signature_and_extracts_capk_tac_limits; taa::tests::online_action_codes_request_arqc_when_online_capable; traceability_foundation::krn_taa_001_002_003_004_005_006_007_uses_iac_tac_order_and_profile_fallbacks
KRN-TAA-006,Kernel SHALL evaluate TAA decision steps in exact order; fallback policy explicitly configured.,UT-TAA-006,IT-TAA-006,EMV-L2-TAA-003,taa::tests::denial_action_codes_take_precedence; taa::tests::online_action_codes_request_arqc_when_online_capable; taa::tests::default_action_codes_are_ignored_while_online_capable; ffi::tests::taa_uses_terminal_type_online_capability; traceability_foundation::krn_taa_001_002_003_004_005_006_007_uses_iac_tac_order_and_profile_fallbacks
KRN-TAA-007,Kernel SHALL use deterministic profile fallback policy for TAA no-match/default cases.,UT-TAA-007,IT-TAA-007,EMV-L2-TAA-004,traceability_foundation::scheme_profile_annex_contains_deterministic_taa_keys; taa::tests::offline_unable_default_match_uses_profile_fallback; taa::tests::default_action_codes_are_ignored_while_online_capable; taa::tests::no_match_defaults_are_profile_driven; traceability_foundation::krn_taa_001_002_003_004_005_006_007_uses_iac_tac_order_and_profile_fallbacks
KRN-APDU-009,Kernel SHALL implement state-specific handling for all SW codes in full state machine.,UT-APDU-001,IT-APDU-001,EMV-L2-APDU-001,sw::tests::select_status_words_are_state_specific; sw::tests::same_non_9000_status_words_are_context_specific; traceability_foundation::krn_apdu_009_010_status_handling_is_context_specific; traceability_foundation::rtm_promotes_apdu_status_word_evidence
KRN-APDU-010,Kernel SHALL NOT treat all non-9000 responses as generic errors.,UT-APDU-002,IT-APDU-002,EMV-L2-APDU-002,sw::tests::handles_success_and_transport_followups_before_context_rules; ffi::tests::runtime_core_flow_resolves_gpo_record_and_gac_followups; ffi::tests::issuer_authentication_resolves_get_response_followup; ffi::tests::transmit_apdu_followups_rejects_chains_above_limit; sw::tests::read_record_status_words_continue_or_end_without_generic_failure; sw::tests::verify_and_script_status_words_keep_their_own_meaning; sw::tests::same_non_9000_status_words_are_context_specific; traceability_foundation::krn_apdu_009_010_status_handling_is_context_specific; traceability_foundation::rtm_promotes_apdu_status_word_evidence
KRN-ODA-001,Kernel SHALL verify CAPK hash before use; if invalid treat as missing.,UT-ODA-001,IT-ODA-001,EMV-L2-ODA-001,config::tests::rejects_certification_capk_checksum_mismatch_or_metadata_drift; traceability_foundation::krn_sec_003_oda_001_cert_profile_loader_rejects_capk_checksum_drift; traceability_foundation::krn_capk_001_002_lookup_requires_verified_profile_integrity; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-002,CAPKs require integrity and authenticity; confidentiality not required.,UT-ODA-002,IT-ODA-002,N/A,traceability_foundation::krn_sec_003_oda_002_capks_retain_signed_public_provenance; config::tests::loads_profile_annex_when_signature_is_verified; traceability_foundation::profile_loader_requires_verified_signature_and_extracts_capk_tac_limits; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-003,"If issuer public key certificate recovery fails, set appropriate TVR bit and continue to TAA.",UT-ODA-003,IT-ODA-003,EMV-L2-ODA-003,traceability_foundation::krn_oda_003_004_certificate_recovery_failures_set_tvr; oda::tests::rejects_public_key_material_above_resource_limits; traceability_foundation::krn_oda_003_004_public_key_inputs_require_certificates_exponents_and_remainders; traceability_foundation::krn_oda_002_003_004_recovered_certificates_reconstruct_public_key_material; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-004,"If ICC public key certificate recovery fails, set DDA or CDA failure TVR bit.",UT-ODA-004,IT-ODA-004,EMV-L2-ODA-004,traceability_foundation::krn_oda_003_004_certificate_recovery_failures_set_tvr; oda::tests::rejects_public_key_material_above_resource_limits; traceability_foundation::krn_oda_003_004_public_key_inputs_require_certificates_exponents_and_remainders; traceability_foundation::krn_oda_002_003_004_recovered_certificates_reconstruct_public_key_material; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-005,SDA failure sets TVR_B1_SDA_FAILED.,UT-ODA-005,IT-ODA-005,EMV-L2-SDA-001,ffi::tests::runtime_oda_maps_bad_sda_signature_to_tvr_failure; oda::tests::rejects_malformed_static_authentication_tag_list; oda::tests::rejects_static_authentication_tag_lists_above_limit; oda::tests::rejects_static_authentication_data_above_aggregate_limit; traceability_foundation::krn_oda_001_005_006_007_selects_method_and_sets_tvr_tsi_without_cda_fallback; traceability_foundation::krn_oda_005_static_authentication_data_uses_afl_order_and_tag_list; traceability_foundation::krn_oda_005_006_007_recovers_and_verifies_signed_application_data; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-006,DDA failure sets TVR_B1_DDA_FAILED.,UT-ODA-006,IT-ODA-006,EMV-L2-DDA-001,ffi::tests::runtime_oda_maps_bad_dda_signature_to_tvr_failure; traceability_foundation::krn_dda_002_oda_006_requires_signed_dynamic_application_data; traceability_foundation::krn_oda_005_006_007_recovers_and_verifies_signed_application_data; traceability_foundation::rtm_promotes_dda_internal_authenticate_evidence; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-007,"CDA failure sets TVR_B1_CDA_FAILED; if CDA supported and fails, SHALL NOT fall back to DDA.",UT-ODA-007,IT-ODA-007,EMV-L2-CDA-002,ffi::tests::runtime_cda_failure_sets_tvr_without_falling_back_to_dda; ffi::tests::runtime_cda_missing_signed_dynamic_data_sets_tvr_for_online_handoff; oda::tests::selects_strongest_allowed_oda_method_without_fallback_after_cda_failure; traceability_foundation::krn_oda_001_005_006_007_selects_method_and_sets_tvr_tsi_without_cda_fallback; traceability_foundation::krn_oda_005_006_007_recovers_and_verifies_signed_application_data; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-ODA-008,Kernel SHALL verify CDA signed dynamic data against the first GENERATE AC cryptogram using profile-defined rules.,UT-ODA-008,IT-ODA-008,EMV-L2-CDA-003,gac::tests::rejects_malformed_dynamic_authentication_data_in_gac_response; ffi::tests::runtime_cda_verifies_first_gac_signed_dynamic_data; ffi::tests::runtime_cda_missing_signed_dynamic_data_sets_tvr_for_online_handoff; traceability_foundation::krn_oda_005_006_007_recovers_and_verifies_signed_application_data; oda::tests::validates_complete_vector_syntax_and_rejects_placeholders; traceability_foundation::krn_odatv_001_rejects_placeholder_oda_annex_in_certification_mode; traceability_foundation::rtm_promotes_oda_capk_tvr_cda_evidence
KRN-DDA-001,Kernel SHALL use INTERNAL AUTHENTICATE only for DDA where the AIP card data and profile require or allow it.,UT-DDA-001,IT-DDA-001,EMV-L2-DDA-002,apdu::tests::builds_internal_authenticate_from_ddol_values; ffi::tests::runtime_oda_executes_dda_internal_authenticate_success; traceability_foundation::krn_dda_001_internal_authenticate_uses_ddol_values; traceability_foundation::rtm_promotes_dda_internal_authenticate_evidence
KRN-DDA-002,Kernel SHALL verify signed dynamic application data using the recovered ICC public key.,UT-DDA-002,IT-DDA-002,EMV-L2-DDA-003,oda::tests::recovers_parses_and_verifies_signed_application_data; oda::tests::rejects_internal_authenticate_without_response_template; oda::tests::rejects_nested_or_duplicate_internal_authenticate_data; oda::tests::rejects_empty_internal_authenticate_icc_dynamic_number; ffi::tests::runtime_oda_executes_dda_internal_authenticate_success; ffi::tests::runtime_oda_maps_bad_dda_signature_to_tvr_failure; traceability_foundation::krn_dda_002_oda_006_requires_signed_dynamic_application_data; traceability_foundation::rtm_promotes_dda_internal_authenticate_evidence
KRN-ODATV-001,Kernel SHALL reject ODA certification vectors containing placeholders truncated cryptographic material non-hex characters or missing expected outputs.,UT-ODATV-001,IT-ODATV-001,N/A,oda::tests::certification_vector_coverage_is_method_specific; oda::tests::validates_complete_vector_syntax_and_rejects_placeholders; traceability_foundation::krn_odatv_001_rejects_placeholder_oda_annex_in_certification_mode
KRN-IAUTH-001,Kernel SHALL process tag 91 issuer authentication data.,UT-IAUTH-001,IT-IAUTH-001,EMV-L2-IAUTH-001,apdu::tests::builds_external_authenticate_for_issuer_authentication_data; issuer::tests::parses_arpc_arc_and_issuer_scripts; issuer::tests::rejects_host_response_without_authorization_response_code; issuer::tests::rejects_nested_or_duplicate_host_response_auth_objects; ffi::tests::issuer_authentication_failure_sets_tvr_and_reaches_scripts; ffi::tests::issuer_authentication_resolves_get_response_followup; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-IAUTH-002,Kernel SHALL set TSI only when issuer authentication is attempted.,UT-IAUTH-002,IT-IAUTH-002,EMV-L2-IAUTH-002,ffi::tests::issuer_authentication_failure_sets_tvr_and_reaches_scripts; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-IAUTH-003,Kernel SHALL set TVR issuer authentication failed on card failure.,UT-IAUTH-003,IT-IAUTH-003,EMV-L2-IAUTH-003,ffi::tests::issuer_authentication_failure_sets_tvr_and_reaches_scripts; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-GAC2-001,Kernel SHALL construct CDOL2 from card profile data and host response data.,UT-GAC2-001,IT-GAC2-001,EMV-L2-GAC2-001,ffi::tests::final_generate_ac_builds_cdol2_from_host_response_and_state; ffi::tests::final_generate_ac_uses_authorization_code_from_applied_host_response; ffi::tests::final_gac_rejects_missing_cdol2_source_without_zero_padding; record::tests::rejects_host_response_record_tags_atomically; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-GAC2-002,Kernel SHALL include issuer authentication or authorization response data where required by CDOL2.,UT-GAC2-002,IT-GAC2-002,EMV-L2-GAC2-002,issuer::tests::rejects_nested_or_duplicate_host_response_auth_objects; ffi::tests::final_generate_ac_builds_cdol2_from_host_response_and_state; ffi::tests::final_generate_ac_uses_authorization_code_from_applied_host_response; ffi::tests::final_gac_rejects_missing_cdol2_source_without_zero_padding; record::tests::rejects_host_response_record_tags_atomically; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-GAC2-003,Kernel SHALL issue second GENERATE AC where required after online authorization.,UT-GAC2-003,IT-GAC2-003,EMV-L2-GAC2-003,ffi::tests::final_generate_ac_builds_cdol2_from_host_response_and_state; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-GAC2-004,Kernel SHALL treat final TC as approval and final AAC as decline.,UT-GAC2-004,IT-GAC2-004,EMV-L2-GAC2-004,ffi::tests::final_generate_ac_builds_cdol2_from_host_response_and_state; ffi::tests::krn_gac2_004_final_generate_ac_skipped_without_cdol2_honors_host_arc; traceability_foundation::rtm_promotes_issuer_authentication_and_final_gac_evidence
KRN-SCR-001,Kernel SHALL validate issuer script template structure.,UT-SCR-001,IT-SCR-001,EMV-L2-SCR-001,issuer::tests::parses_arpc_arc_and_issuer_scripts; issuer::tests::rejects_script_templates_without_commands; issuer::tests::rejects_malformed_issuer_script_identifier_lengths; issuer::tests::rejects_malformed_issuer_script_command_apdus; issuer::tests::rejects_issuer_script_commands_above_length_limit; issuer::tests::rejects_nested_or_duplicate_issuer_script_objects; issuer::tests::rejects_cumulative_issuer_script_command_overflow; traceability_foundation::host_response_extracts_arpc_and_phase_specific_script_results; traceability_foundation::rtm_promotes_issuer_script_evidence
KRN-SCR-002,Kernel SHALL execute issuer script commands in order.,UT-SCR-002,IT-SCR-002,EMV-L2-SCR-002,ffi::tests::issuer_script_noncritical_failure_sets_phase_tvr_and_reaches_final; ffi::tests::post_final_issuer_script_failure_sets_after_final_tvr_and_completes; ffi::tests::critical_issuer_script_warning_continues_and_reports_results; ffi::tests::critical_issuer_script_failure_stops_remaining_commands; ffi::tests::issuer_script_apdus_resolve_get_response_and_retry_le; traceability_foundation::rtm_promotes_issuer_script_evidence
KRN-SCR-003,Kernel SHALL capture issuer script command SW1/SW2.,UT-SCR-003,IT-SCR-003,EMV-L2-SCR-003,ffi::tests::issuer_script_noncritical_failure_sets_phase_tvr_and_reaches_final; ffi::tests::post_final_issuer_script_failure_sets_after_final_tvr_and_completes; ffi::tests::critical_issuer_script_warning_continues_and_reports_results; ffi::tests::critical_issuer_script_failure_records_results_and_enters_error; ffi::tests::critical_issuer_script_failure_stops_remaining_commands; traceability_foundation::rtm_promotes_issuer_script_evidence
KRN-SCR-004,Kernel SHALL set before-final-GAC script failure TVR bit.,UT-SCR-004,IT-SCR-004,EMV-L2-SCR-004,issuer::tests::script_results_set_phase_specific_tvr_bits_and_tsi; ffi::tests::issuer_script_noncritical_failure_sets_phase_tvr_and_reaches_final; traceability_foundation::host_response_extracts_arpc_and_phase_specific_script_results; traceability_foundation::rtm_promotes_issuer_script_evidence
